Key,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
238,方便，方便得很，你想問我什麼？,方便，方便得很，你想问我什么？,It is convenient and convenient. What do you want to ask me?
239,你是這裡的住客…這地方…我意思這大廈，沒有你覺得不尋常的部份嗎？,你是这里的住客…这地方…我意思这大厦，没有你觉得不寻常的部份吗？,"You are the resident here ... this place ... I mean this building, do you feel unusual?"
240,不尋常？,不寻常？,unusual?
241,對，就是這裡……這裡不是很猛嗎？有沒有經常見到那些嚇人的…鬼？,对，就是这里……这里不是很猛吗？有没有经常见到那些吓人的…鬼？,"Yes, this is here ... Isn't it very fierce here? Do you often see those scary ... ghost?"
242,啊，鬼呀？,啊，鬼呀？,"Ah, ghost?"
243,看來你是什麼都不知道呢？不過也難怪。,看来你是什么都不知道呢？不过也难怪。,It seems that you don't know anything? But it's no wonder.
244,你知道些什麼嗎？,你知道些什么吗？,Do you know what?
245,我知道，我當然知道呀，但我不能說。,我知道，我当然知道呀，但我不能说。,"I know, of course, I know, but I can't say."
246,為…為何？,为…为何？,For ... why?
247,沒為何呀，你是外賣員，我就是不能說。,没为何呀，你是外卖员，我就是不能说。,"No, you are a takeaway, I just can't say."
248,我是外賣員……所以你不能說？,我是外卖员……所以你不能说？,I am a takeaway ... so you can't say?
249,別想太多了，做好你的工作就行呀，我要吃飯了。,别想太多了，做好你的工作就行呀，我要吃饭了。,"Don't think too much, just do your job well, I'm going to eat."
250,啊﹗等下﹗噯﹗,啊﹗等下﹗嗳﹗,ah! Wait! Ai!
251,咔嚓—,咔嚓—,Ka click-
252,她…她這是什麼意思？,她…她这是什么意思？,What does she mean?
253,那女住客說了些似是而非的話，根本沒解答你任何事情。,那女住客说了些似是而非的话，根本没解答你任何事情。,"The female resident said something that like, and did not answer anything you."
254,但她似乎也知道這裡存在著嚇人的鬼怪，但卻沒有一點要害怕的意思。,但她似乎也知道这里存在着吓人的鬼怪，但却没有一点要害怕的意思。,"But she also seemed to know that there was a scary ghost here, but there was no meaning to be afraid."
255,你感覺更是疑惑，但這份感覺沒能影響你任何行動，你依然心裡只想著要把手上的餐點送完。,你感觉更是疑惑，但这份感觉没能影响你任何行动，你依然心里只想着要把手上的餐点送完。,"You feel even more puzzled, but this feeling has not affected any of your actions. You still think about giving the meals on your hand."
256,當你打算離開這單位的同時，你卻注意到在214旁邊的房間，有著極其顯眼、與眾不同的氛圍。,当你打算离开这单位的同时，你却注意到在214旁边的房间，有着极其显眼、与众不同的氛围。,"When you plan to leave this unit, you notice that the room next to 214 has an extremely conspicuous and distinctive atmosphere."
257,特寫216號房,特写216号房,Fortune 216
258,216號房間…,216号房间…,Room 216 ...
259,（這裡…這是216號房，那規則裡不是有一條說…）,（这里…这是216号房，那规则里不是有一条说…）,"(Here ... this is Room 216, there is not a saying in the rules ...)"
260,規則最後一條特寫：切勿打擾216號住戶。,规则最后一条特写：切勿打扰216号住户。,The last close -up of the rules: Do not disturb the residents No. 216.
261,"（""不能打擾216號住戶""）","（""不能打扰216号住户""）","(""Can't disturb the residents No. 216"")"
262,一想到犯了規則就會引來恐怖的怪物，你馬上打消了好奇的念頭，趕緊離開這個範圍。,一想到犯了规则就会引来恐怖的怪物，你马上打消了好奇的念头，赶紧离开这个范围。,"When you think of the rules, you will attract horrible monsters. You immediately dispel the idea of ​​curiosity and quickly leave this scope."
263,在打算往走廊的另一方向前去，送出手上最後一個外賣之時…,在打算往走廊的另一方向前去，送出手上最后一个外卖之时…,"Go before the other direction of the corridor, and send out the last takeaway in your hand ..."
264,"那三個""夥伴""又集結在後樓梯處，一把叫聲從當中喊出。","那三个""伙伴""又集结在后楼梯处，一把叫声从当中喊出。","The three ""partners"" gathered at the rear stairs and shouted from it."
265,喂﹗……,喂﹗ ……,Hello! Nympho
266,四眼的男人這時突然大喊，眾人的目光的落在他身上。,四眼的男人这时突然大喊，众人的目光的落在他身上。,"The man with four eyes suddenly shouted, and everyone's eyes fell on him."
267,你們…你們瘋了嗎？,你们…你们疯了吗？,Are you ... are you crazy?
268,？,？,Intersection
269,這裡的東西……你們看不見嗎？那些可不是正常人吧？,这里的东西……你们看不见吗？那些可不是正常人吧？,The things here ... can you see it? Those are not normal people?
270,所以呢？,所以呢？,so what?
271,那些…那些是鬼啊﹗這地方根本是莫名其妙的﹗你們居然還無動於衷的在送外賣？瘋了啊﹗,那些…那些是鬼啊﹗这地方根本是莫名其妙的﹗你们居然还无动于衷的在送外卖？疯了啊﹗,Those ... those are ghosts! This place is inexplicable at all﹗ Are you still indifferent to takeaway? Crazy
272,不然呢？工作不做了？,不然呢？工作不做了？,if not? Don't work?
273,神經病﹗你們都是神經病的﹗這工作怎麼可能做下去？﹗,神经病﹗你们都是神经病的﹗这工作怎么可能做下去？ ﹗,Neuropathy! You are all neuropathy! How can this work be done? Bind
274,我不跟你們瘋﹗我要走了﹗,我不跟你们疯﹗我要走了﹗,I'm not crazy with you I gotta go!
275,那四眼的男人一臉恐懼的沿著樓梯衝了下去，想必他是打算往出口方向逃跑。,那四眼的男人一脸恐惧的沿着楼梯冲了下去，想必他是打算往出口方向逃跑。,"Those four -eyed man rushed down the stairs with fear, presumably he was going to escape in the direction of the exit."
276,看著他消失於梯間的背影及耳邊漸遠的尖叫聲，你眼前的那兩個人卻一動不動的站在原地。,看着他消失于梯间的背影及耳边渐远的尖叫声，你眼前的那两个人却一动不动的站在原地。,"Looking at the back of the ladder and the screaming of the ears away, the two people in front of you stood still in place."
277,（那四眼的男人……他是正常的…）,（那四眼的男人……他是正常的…）,(The four -eyed man ... he is normal ...)
278,（任何人見到這種情況，肯定是要跑啊，誰會見到如斯景象還能繼續待下去？）,（任何人见到这种情况，肯定是要跑啊，谁会见到如斯景象还能继续待下去？）,(Anyone who sees this is definitely going to run. Who would see such a scene and can continue?)
279,追他,追他,Chase him
280,不追,不追,Not chase
281,（我覺得四眼男人的做法是對的…﹗這地方根本不尋常。）,（我觉得四眼男人的做法是对的…﹗这地方根本不寻常。）,(I think the practice of a four -eyed man is right ...﹗ This place is unusual at all.)
282,（不能在這裡待下去，要離開﹗我們必須離開。）,（不能在这里待下去，要离开﹗我们必须离开。）,"(Can't stay here, we must leave. We must leave.)"
283,你二話不說，沿著那四眼的腳步跟了上去，站在二樓的那兩男人只是冷冰冰的盯著你消失的畫面。,你二话不说，沿着那四眼的脚步跟了上去，站在二楼的那两男人只是冷冰冰的盯着你消失的画面。,"You don't say anything, the two men standing along those four eyes, the two men standing on the second floor just stared at the disappearance of your disappearance."
284,你回到一樓，記憶中出口就在升降機的右手邊。,你回到一楼，记忆中出口就在升降机的右手边。,"When you return to the first floor, the exit in the memory is on the right hand side of the lift."
285,你生怕又再碰到什麼鬼怪，很想加快腳步，卻又躊躇不定的四處張望。,你生怕又再碰到什么鬼怪，很想加快脚步，却又踌躇不定的四处张望。,"You are afraid that you will encounter any ghosts again, and you want to speed up your steps, but you look everywhere."
286,（出口，得儘快離開這地方。）,（出口，得尽快离开这地方。）,"(Exit, you have to leave this place as soon as possible.)"
287,在快到那逃生門的一刻，眼前卻出現那位四眼的身影。,在快到那逃生门的一刻，眼前却出现那位四眼的身影。,"At the moment when the escape door was almost there, the four -eye figure appeared in front of him."
288,咦？﹗你﹗你怎麼了？不是要離開嗎？,咦？ ﹗你﹗你怎么了？不是要离开吗？,Huh? Bind you! What’s wrong with you? Isn't it going to leave?
289,那四眼男子只是定睛的看著你，他沒動，也沒說話，就那麼站著，眼神裡看不出一絲神彩。,那四眼男子只是定睛的看着你，他没动，也没说话，就那么站着，眼神里看不出一丝神彩。,"Those four -eyed men just looked at you with intention. He didn't move, and he didn't speak. He stood so, and he couldn't see a hint of magic in his eyes."
290,喂？……,喂？ ……,Hello? Nympho
291,男人的頭掉了下來，只剩身體，而後面黑間中鬼差鬼出現。,男人的头掉了下来，只剩身体，而后面黑间中鬼差鬼出现。,"The man's head fell, leaving only his body, and the ghosts in the black room appeared."
292,哇﹗……哇﹗﹗﹗,哇﹗ ……哇﹗ ﹗ ﹗,Wow! ……Wow! Bind Bind
293,你…你是什麼？你…你是什麼啊﹗,你…你是什么？你…你是什么啊﹗,You ... what are you? You ... what are you?
294,感覺那巨大的鬼怪下一秒就要把你身首異處，你趕緊往返方向逃離。,感觉那巨大的鬼怪下一秒就要把你身首异处，你赶紧往返方向逃离。,"I feel that the huge ghost will be different in your head in the next second, and you hurry to escape from the direction."
295,沿著樓梯又往上奔去，你眼裡流露出的恐懼讓方才那兩人感到疑惑。,沿着楼梯又往上奔去，你眼里流露出的恐惧让方才那两人感到疑惑。,"Running along the stairs again, the fear in your eyes makes Fang Cai's two people feel puzzled."
296,你怎麼回來了？不是說想走嗎？,你怎么回来了？不是说想走吗？,Why are you back? Didn't you say you want to go?
297,不不…………那…那裡有……,不不…………那…那里有……,No no ........... There is ... where ... where ...
298,逃不掉，是吧？,逃不掉，是吧？,"Can't escape, right?"
299,欸？……,欸？ ……,Eh? Nympho
300,逃不掉的，不能逃，逃的話就會如你所見到的一樣。,逃不掉的，不能逃，逃的话就会如你所见到的一样。,"If you can't escape, you can't escape, if you escape, it will be the same as you see."
301,什…什麼？,什…什么？,What ... what?
302,你難以相信他所說的話，但如剛才你親眼目睹的，你深刻地知道這並非一個玩笑。,你难以相信他所说的话，但如刚才你亲眼目睹的，你深刻地知道这并非一个玩笑。,"It is difficult for you to believe what he said, but if you witnessed it just now, you know that this is not a joke."
303,你逃不了，任何人都不能逃。,你逃不了，任何人都不能逃。,"You can't escape, no one can escape."
304,可是…到底這裡是什麼地方啊？﹗,可是…到底这里是什么地方啊？ ﹗,But ... what the hell is here? Bind
305,你是外賣員，我們都是，我們要把外賣送好，就是這樣。,你是外卖员，我们都是，我们要把外卖送好，就是这样。,"You are a takeaway, we are all, we have to send the takeaway, that's it."
306,外賣……？我不是…我不是外賣員﹗,外卖……？我不是…我不是外卖员﹗,takeout……? I am not ... I am not a takeaway
307,別質疑，你是。,别质疑，你是。,"Don't question, you are."
308,似是橫蠻無理，你嘴裡很想再說一些辯駁的話，但是，你說不出。,似是横蛮无理，你嘴里很想再说一些辩驳的话，但是，你说不出。,"It seems to be quite unreasonable. You want to say something in your mouth, but you can't say it."
309,你不單說不出，而且很快地，你認同起他們的話。,你不单说不出，而且很快地，你认同起他们的话。,"You can't just say it, but soon, you agree with them."
310,我是外賣員……我是來送外賣的。,我是外卖员……我是来送外卖的。,I'm a takeaway ... I'm here to take out.
311,那就繼續吧。,那就继续吧。,Then continue.
312,（我覺得四眼男人的做法是對的…﹗這地方根本不尋常。）,（我觉得四眼男人的做法是对的…﹗这地方根本不寻常。）,(I think the practice of a four -eyed man is right ...﹗ This place is unusual at all.)
313,（但我卻不為所動，我的腿沒有絲毫想要挪動的衝動。）,（但我却不为所动，我的腿没有丝毫想要挪动的冲动。）,"(But I don't move, my legs have no impulse to move at all.)"
314,別管他了，他愛怎樣就怎樣吧。,别管他了，他爱怎样就怎样吧。,"Don't care about him, he loves what he loves."
315,（為何我會覺得如此奇怪？這不對勁的思緒是什麼一回事？）,（为何我会觉得如此奇怪？这不对劲的思绪是什么一回事？）,(Why do I feel so strange? What is this wrong thought?)
316,（還有一個餐，是給204號房間的，先送完再看吧。）,（还有一个餐，是给204号房间的，先送完再看吧。）,"(There is also a meal for Room 204, let's finish it before watching.)"
317,調查，去204，按鈴後,调查，去204，按铃后,"Survey, go to 204, after the bell"
318,送來了？,送来了？,Send it?
319,你好，你的外賣在這裡。,你好，你的外卖在这里。,"Hello, your takeaway is here."
320,快點拿來。,快点拿来。,Come on.
321,好…,好…,good…
322,額？怎麼只有這麼點？,额？怎么只有这么点？,Forehead? Why is it only that?
323,嗯？,嗯？,Um?
324,哈哈，真是的，你們怎麼不去死一死？,哈哈，真是的，你们怎么不去死一死？,"Haha, really, why don't you die?"
325,這麼點東西夠誰吃？我說，你施捨乞丐也不會只給那麼點吧？,这么点东西够谁吃？我说，你施舍乞丐也不会只给那么点吧？,"Who eats such a little thing? I said, you will not just give the beggar for the beggar, right?"
326,你在說什麼呢？…我只是負責送餐的。,你在说什么呢？ …我只是负责送餐的。,what are you talking about? … I'm just responsible for delivery.
327,送餐，哈哈，你這混蛋。,送餐，哈哈，你这混蛋。,"Meal meal, haha, you bastard."
328,你手上還有多少外賣？,你手上还有多少外卖？,How much takeaway do you have?
329,什麼？,什么？,What?
330,我問你﹗你手上還有多少外賣﹗,我问你﹗你手上还有多少外卖﹗,I ask you! How many takeaways do you have?
331,沒…沒了啊。,没…没了啊。,No ... no more.
332,拿來﹗,拿来﹗,Take it
333,拿來給我﹗,拿来给我﹗,Take it to me
334,拿來﹗﹗﹗,拿来﹗ ﹗ ﹗,Take it Bind Bind
335,啊…啊啊﹗﹗,啊…啊啊﹗ ﹗,Ah ... ah Bind
336,拔腿狂奔,拔腿狂奔,Run away
337,冷靜回應,冷静回应,Calm response
338,你看著那位住客突然變臉的畫面，嚇得魂飛魄散，趕緊回頭逃離。,你看着那位住客突然变脸的画面，吓得魂飞魄散，赶紧回头逃离。,"You looked at the picture of the resident suddenly changed his face, scared his soul, and quickly turned back."
339,可是在回頭之時，你馬上醒覺這裡是二樓。,可是在回头之时，你马上醒觉这里是二楼。,"But when you look back, you immediately wake up to be the second floor."
340,還沒夠時間感到後悔，一張恐怖的臉就出現在你的眼前…,还没够时间感到后悔，一张恐怖的脸就出现在你的眼前…,"I didn't have enough time to regret it, a horrible face appeared in front of your eyes ..."
341,哇……啊﹗﹗﹗﹗,哇……啊﹗ ﹗ ﹗ ﹗,Wow! Bind Bind Bind
342,LOADING，升降機,LOADING，升降机,"Loading, lifting machine"
343,…………,…………,..............
344,什麼回事？……,什么回事？ ……,what happend? Nympho
345,痛…痛死我…,痛…痛死我…,Pain ... hurt me ...
346,這裡，我又回到升降機，即是說……我犯規？,这里，我又回到升降机，即是说……我犯规？,"Here, I return to the lifting machine again, that is, ... I foul?"
347,犯規………那鬼出來…把我……,犯规………那鬼出来…把我……,Fully ... that ghost came out ... Turn me ...
348,雖然你想不起鬼出來後發生了什麼事，但可以肯定的是，只要犯了規，你就會見到那些鬼怪，然後失去意識後便會回到這升降機裡頭。,虽然你想不起鬼出来后发生了什么事，但可以肯定的是，只要犯了规，你就会见到那些鬼怪，然后失去意识后便会回到这升降机里头。,"Although you can't remember what happened after the ghost came out, it is certain that as long as you commit rules, you will see those ghosts, and then you will return to this lifting machine after losing consciousness."
349,這當中一定有所關連……這也能解釋到底我在做什麼。,这当中一定有所关连……这也能解释到底我在做什么。,This must be related ... this can also explain what I am doing.
350,驚惶未定情緒還沒平伏，古怪的現像又再出現，完全不給你喘息的機會。,惊惶未定情绪还没平伏，古怪的现像又再出现，完全不给你喘息的机会。,"The mood has not been flat, and the weird phenomenon appears again, and it will not give you a chance to breathe."
351,你抑止自己想拔腿狂奔的心，因為你知道只要一回頭，就會犯上了其中一條守則。,你抑止自己想拔腿狂奔的心，因为你知道只要一回头，就会犯上了其中一条守则。,"You restrain your heart that you want to pull your legs, because you know that as long as you look back, you will commit one of the rules."
352,二樓的守則特寫,二楼的守则特写,Code on the second floor
353,你冷靜下來，看著眼前這位氣急敗壞的住客，淡淡地道。,你冷静下来，看着眼前这位气急败坏的住客，淡淡地道。,"You calm down, watching the disturbing resident in front of you, tagging lightly."
354,我手上沒有多的外賣，而且就算有，不是你的我也不可能給你。,我手上没有多的外卖，而且就算有，不是你的我也不可能给你。,"I do n’t have many takeaways in my hand, and even if there are, I ’m not able to give you."
355,你說什麼？﹗給我把外賣帶來﹗帶來啊﹗﹗,你说什么？ ﹗给我把外卖带来﹗带来啊﹗ ﹗,What did you say? Bind Bring me takeaway Bring it! Bind
356,你看著他近乎發瘋了的模樣，你好像意識到這住客，或者說這所有的住客，似乎都在期待著你所送出的外賣。,你看着他近乎发疯了的模样，你好像意识到这住客，或者说这所有的住客，似乎都在期待着你所送出的外卖。,"You look at him almost crazy, you seem to realize that the guest, or all of these guests, seem to be looking forward to the takeaway you send."
357,但那種對食物的渴求並非單純因為肚餓而生的，這背後似乎有些什麼你覺得異常的部份。,但那种对食物的渴求并非单纯因为肚饿而生的，这背后似乎有些什么你觉得异常的部份。,But the desire for food is not simply hungry. There seems to be some parts behind this.
358,你沒再理會來住客，就經走廊盡頭的空房間回頭，這是避免犯上回頭規則的方法。,你没再理会来住客，就经走廊尽头的空房间回头，这是避免犯上回头规则的方法。,"You don't care about the guests anymore, and turn back through the empty room at the end of the corridor. This is a way to avoid the rules of the crime."
359,回到一樓，你眼前的那所升降機居然是開著門的。,回到一楼，你眼前的那所升降机居然是开着门的。,"Back to the first floor, the lift in front of you was opened."
360,手上的外賣已經派完了，你在這大廈的工作應該已完成了，可是你腦裡卻有著還有事情沒做完的想法。,手上的外卖已经派完了，你在这大厦的工作应该已完成了，可是你脑里却有着还有事情没做完的想法。,"The takeaway in your hand has been finished, and your work in this building should have been completed, but you have the idea of ​​not doing things in your mind."
361,走進升降機中，突如其來的古怪現像又在眼前出現…,走进升降机中，突如其来的古怪现像又在眼前出现…,"Entering into the lift, the sudden and strange phenomenon appeared in front of me ..."
362,升降機的頂部，那原先是抽氣風扇的位置，突然被打開了一個深不見底的洞。,升降机的顶部，那原先是抽气风扇的位置，突然被打开了一个深不见底的洞。,"At the top of the lift, the position of the air fan was originally opened, and a deep hole was suddenly opened."
363,從那個洞中，傳來了什麼東西穿過的聲音，然後下一秒，一堆外賣就從那洞裡跌進升降機中。,从那个洞中，传来了什么东西穿过的声音，然后下一秒，一堆外卖就从那洞里跌进升降机中。,"From that hole, there was a sound that came through, and the next second, a bunch of takeaway fell into the lift from that hole."
364,五個外賣，突然你前面多了五個新的外賣。,五个外卖，突然你前面多了五个新的外卖。,"Five takeaways, suddenly you have five new takeaways in front of you."
365,沒有人告訴你發生什麼事，但你卻知道這五個外賣是你的東西，在派完了手上的外賣後，回到這升降機便會補給新的外賣。,没有人告诉你发生什么事，但你却知道这五个外卖是你的东西，在派完了手上的外卖后，回到这升降机便会补给新的外卖。,"No one tells you what happened, but you know that these five takeaways are your things. After sending the takeaway in your hand, you will supply new takeaways when you return to this lifting machine."
366,這工作還沒完，而且也沒有要完的跡象。,这工作还没完，而且也没有要完的迹象。,"This job is not over yet, and there are no signs of finishing."
367,得到5個外賣,得到5个外卖,Get 5 takeaways
368,這…究竟是怎麼一回事？,这…究竟是怎么一回事？,What the hell does this happen?
369,調查，自由送外賣，直到送到205單位的四眼仔時 (下面也會先寫一下5個餐相對的住客對白)(103先),调查，自由送外卖，直到送到205单位的四眼仔时 (下面也会先写一下5个餐相对的住客对白)(103先),"Investigation, free takeaway, until the four -eyed baby sent to the unit 205 (the following will also write 5 meals to relative guest dialogue) (103 first)"
370,"房間裡開門, 見剽入面的人嘔吐","房间里开门, 见剽入面的人呕吐","Open the door in the room, see the person who plagiarizes the face vomiting"
371,…………,…………,..............
372,把外賣給他嗎？,把外卖给他吗？,Do you take the takeaway to him?
373,給,给,Give
374,不給,不给,Not given
375,先生，你的外賣。,先生，你的外卖。,"Sir, your takeaway."
376,嘔………,呕………,vomit………
377,喂…你沒事吧？,喂…你没事吧？,Hey ... are you okay?
378,………嘔……,………呕……,………vomit……
379,嘔吐的男人隨手接了你的外賣，就把門關上。,呕吐的男人随手接了你的外卖，就把门关上。,The vomiting man picked up your takeaway and closed the door.
380,………他沒事吧？,………他没事吧？,............ Is he okay?
381,返回調查,返回调查,Return to investigation
382,（他這狀況好像不太正常，還是先不給他吧。）,（他这状况好像不太正常，还是先不给他吧。）,"(He seems to be not normal in this situation, let's not give him first.)"
383,嘔吐的男人見你不給外賣，就把門關上。,呕吐的男人见你不给外卖，就把门关上。,The vomiting man closed the door when you saw that you didn't give the takeaway.
384,你從門上的信箱口窺看他時，發現他只是一直的在嘔吐。,你从门上的信箱口窥看他时，发现他只是一直的在呕吐。,"When you looked at him from the mailbox mouth on the door, he found that he was just vomiting."
385,（吃錯東西了嗎？不過我沒有把外賣給他……應該沒犯規吧？）,（吃错东西了吗？不过我没有把外卖给他……应该没犯规吧？）,(Have you eaten the wrong thing? But I didn't take the takeaway to him ... Shouldn't it foul?)
386,調查，但走了一步，伸手蒙眼鬼就把你殺了，之後LOADING，103的外賣不見了。,调查，但走了一步，伸手蒙眼鬼就把你杀了，之后LOADING，103的外卖不见了。,"Investigation, but after taking a step, I reached out and killed you with my eyes. Loading, 103 takeaway is gone."
387,LOADING，103的外賣不見了。,LOADING，103的外卖不见了。,"Loading, 103 takeaway is gone."
388,出lip調查,出lip调查,LIP survey
389,房間裡伸出兩隻右手出來,房间里伸出两只右手出来,Two right hands out of the room out of the room
390,？﹗……,？ ﹗ ……,Intersection Bind Nympho
391,（兩隻……右手？？）,（两只……右手？？）,(Two ... right hand?)
392,房間裡的人並沒有露面，但怪異感也讓你說不上話。,房间里的人并没有露面，但怪异感也让你说不上话。,"The people in the room did not show up, but the weird sense made you say nothing."
393,把外賣給他嗎？,把外卖给他吗？,Do you take the takeaway to him?
394,給,给,Give
395,不給,不给,Not given
396,你把外賣交給出來，那兩隻手就抓住並搶了進去。,你把外卖交给出来，那两只手就抓住并抢了进去。,"You hand over the takeaway, and the two hands grab and grab it."
397,門關上，你清楚地聽到房子裡傳來了搶奪的聲音，好奇心驅使，你窺看了門上那信箱口…,门关上，你清楚地听到房子里传来了抢夺的声音，好奇心驱使，你窥看了门上那信箱口…,"When the door is closed, you clearly hear the sound of snatching in the house, the curiosity drive, you look at the letter box on the door ..."
398,畫面看到兩隻手在搶外賣，然後其中一方搶嬴了。,画面看到两只手在抢外卖，然后其中一方抢嬴了。,"The picture saw two hands grabbing takeaway, and then one of them grabbed it."
399,（這戶人……不用搶食吧？）,（这户人……不用抢食吧？）,(This household ... don't need to grab food?)
400,兩隻手同時抓住信箱口，然後眼前卻有另外一雙手把你蒙眼，然後殺了,两只手同时抓住信箱口，然后眼前却有另外一双手把你蒙眼，然后杀了,"Two hands grabbed the mailbox entrance, then there was another hands in front of the eyes, and then killed it."
401,啊﹗﹗﹗﹗,啊﹗ ﹗ ﹗ ﹗,ah! Bind Bind Bind
402,LOADING，106的外賣不見了。,LOADING，106的外卖不见了。,"Loading, 106 takeaway is gone."
403,出lip調查,出lip调查,LIP survey
404,（太古怪了吧……誰會有兩隻…右手？）,（太古怪了吧……谁会有两只…右手？）,(Too nice ... Who will have two ... right hand?)
405,你不敢把外賣給對方，誰知下一秒那兩隻手便縮了回去，取而代之，卻是兩雙緊盯著你的眼睛在門隙中浮現。,你不敢把外卖给对方，谁知下一秒那两只手便缩了回去，取而代之，却是两双紧盯着你的眼睛在门隙中浮现。,"You dare not take the takeaway to each other. Who knows that the two hands in the next second will shrink back and replace it, but two pairs are staring at your eyes and emerging in the door clearance."
406,兩隻鬼搶著伸手向你要,两只鬼抢着伸手向你要,Two ghosts rush to reach for you
407,把外賣給我﹗,把外卖给我﹗,Take the takeaway to me
408,給我才對﹗,给我才对﹗,Give me right!
409,給我﹗,给我﹗,Give me!
410,鬼……鬼啊﹗,鬼……鬼啊﹗,Ghost ... ghost!
411,轉走廊視覺,转走廊视觉,Turning corridor vision
412,你知道自己做對了選擇，不要把外賣交給樣子怪異的人，可你卻知道，裡面的根本不可能是人。,你知道自己做对了选择，不要把外卖交给样子怪异的人，可你却知道，里面的根本不可能是人。,"You know that you are right, don't give the takeaway to the weird person, but you know that it is impossible to be a person at all."
413,返回調查,返回调查,Return to investigation
414,房間裡有小孩出來,房间里有小孩出来,Children in the room come out
415,麻煩你了，哥哥。,麻烦你了，哥哥。,"Trouble you, brother."
416,把外賣給這位小朋友嗎？,把外卖给这位小朋友吗？,Do you take the takeaway to this kid?
417,給,给,Give
418,不給,不给,Not given
419,不客氣，這是你的。,不客气，这是你的。,"You're welcome, this is yours."
420,謝謝你，哥哥。,谢谢你，哥哥。,"Thank you, brother."
421,你猶豫了，不敢把手上的外賣給她。,你犹豫了，不敢把手上的外卖给她。,You are hesitant and dare not take the takeaway to her.
422,不給我嗎？,不给我吗？,Don't give me?
423,…………,…………,..............
424,我看起來很正常，你應該要把外賣給我的，我這是為哥哥你好，不然的話你會有麻煩。,我看起来很正常，你应该要把外卖给我的，我这是为哥哥你好，不然的话你会有麻烦。,"I look normal, you should take the takeaway to me. I'm hello for my brother, otherwise you will have trouble."
425,麻…麻煩？,麻…麻烦？,Mill ... trouble?
426,"（我忽然想到規則的第7條，""正常的住客必須給予屬於他的外賣，否則後果自負。""）","（我忽然想到规则的第7条，""正常的住客必须给予属于他的外卖，否则后果自负。""）","(I suddenly thought of Article 7 of the rules, ""Normal resident must give him takeaway, otherwise the consequences will be at your own risk."")"
427,（確實…這小孩看起來其實很正常，要是我判斷錯了也是犯規。）,（确实…这小孩看起来其实很正常，要是我判断错了也是犯规。）,"(Indeed ... this child looks normal, if I judge wrong, it is a foul.)"
428,你最後還是把外賣給她，而她也禮貌的接受。之後一切如常，這舉動果真是正確的。,你最后还是把外卖给她，而她也礼貌的接受。之后一切如常，这举动果真是正确的。,"You finally took the takeaway to her, and she accepted politely. After everything, this move is really correct."
429,謝謝你，哥哥。,谢谢你，哥哥。,"Thank you, brother."
430,難得地聽到如此有禮的住客，你忍不住想跟她多說幾句。,难得地听到如此有礼的住客，你忍不住想跟她多说几句。,"It is rare to hear such a polite guest, you can't help but want to say a few more words to her."
431,小朋友﹗等會。,小朋友﹗等会。,kid! Wait.
432,哥哥，什麼事？,哥哥，什么事？,"Brother, what's the matter?"
433,你一個人住嗎？家人什麼在嗎？,你一个人住吗？家人什么在吗？,do you live alone? What is the family?
434,不在，只有我一個人。,不在，只有我一个人。,"Don’t be there, only I am alone."
435,哦…對了，我想問你，你知道這大廈發生了什麼事情嗎？,哦…对了，我想问你，你知道这大厦发生了什么事情吗？,"Oh ... by the way, I want to ask you, do you know what happened in this building?"
436,什麼事情？哥哥你想知道什麼呢？,什么事情？哥哥你想知道什么呢？,"whats the matter? Brother, what do you want to know?"
437,就是這個地方的一切……你有看到這大廈裡那些很恐怖的鬼怪嗎？,就是这个地方的一切……你有看到这大厦里那些很恐怖的鬼怪吗？,It's everything in this place ... Have you seen the horrible ghosts in this building?
438,鬼怪？,鬼怪？,Ghost?
439,嗯，一看就知道不正常的樣子。,嗯，一看就知道不正常的样子。,"Well, I know it is abnormal at a glance."
440,小孩子側著頭，好像在思考著，然後瞇起眼對你說。,小孩子侧着头，好像在思考着，然后眯起眼对你说。,"The child was sideways, as if thinking, and then narrowed his eyes and said to you."
441,這裡的所有人都很正常，最不正常的就是哥哥你。,这里的所有人都很正常，最不正常的就是哥哥你。,"Everyone here is normal, the most abnormal is your brother."
442,說罷，小女孩便關上了門，留下了滿是疑惑的你站在原地。,说罢，小女孩便关上了门，留下了满是疑惑的你站在原地。,"After that, the little girl closed the door, leaving you full of doubt."
443,返回調查,返回调查,Return to investigation
444,伸手,伸手,Stretch
445,給我﹗,给我﹗,Give me!
446,（這﹗……紙紮公仔？？）,（这﹗……纸扎公仔？？）,(This ... paper doll??)
447,把外賣給這個…人嗎？,把外卖给这个…人吗？,Do you take the takeaway to this ... a person?
448,給,给,Give
449,不給,不给,Not given
450,這…這是你的外賣。,这…这是你的外卖。,This ... this is your takeaway.
451,哼﹗怎麼只有一份？,哼﹗怎么只有一份？,snort! Why is there only one copy?
452,只有一份給你的外賣啊﹗,只有一份给你的外卖啊﹗,There is only one takeaway for you!
453,我們有4個，你只給1份？,我们有4个，你只给1份？,"We have 4, you only give 1 copy?"
454,我不知道你們有多少個…可是………我只有一份是寫著208房間號的。,我不知道你们有多少个…可是………我只有一份是写着208房间号的。,I don't know how many of you have ... but ... I only have one with room 208.
455,那不夠的，只能拿你來填了。,那不够的，只能拿你来填了。,"That's not enough, you can only fill you."
